Timestamp,Object Count
2024-10-18 17:09:26,1
2024-10-18 17:09:26,2
2024-10-18 17:09:27,3
2024-10-18 17:09:28,4
2024-10-18 17:09:29,5
2024-10-18 17:09:32,6
